Country,Name,Age,PlayingRole,BattingStyle,BowlingStyle,Matches,Innings,Notout,Runs,HighestScore,BattingAvg,BallsFaced,StrikeRate,Hundreds,Fiftys,Fours,Sixs,Matches,Innings,BallsBowled,Runs,Wickets,BBI,BBW,BowlingAvg,Economy,StrikeRate
Pakistan,Wahab Riaz,33,Bowler,Right-hand bat,Left-arm fast,27,14,4,126,30*,12.60,107,117.75,0,0,9,5,27,27,543,723,28,3/18,3/18,25.82,7.98,19.3
Pakistan,Waqas Maqsood,31,_,Left-hand bat,Left-arm fast-medium,1,-,-,-,-,-,-,-,-,-,-,-,1,1,11,21,2,2/21,2/21,10.50,11.45,5.5
Sri Lanka,Amila Aponso,25,Bowler,Right-hand bat,Slow left-arm orthodox,3,1,0,0,0,0.00,2,0.00,0,0,0,0,3,3,60,79,4,2/29,2/29,19.75,7.90,15.0
Sri Lanka,Dushmantha Chameera,26,Bowler,Right-hand bat,Right-arm fast,19,10,6,31,12,7.75,40,77.50,0,0,3,0,19,19,403,574,16,3/30,3/30,35.87,8.54,25.1
Sri Lanka,Dinesh Chandimal,29,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,54,47,4,800,58,18.60,766,104.43,0,4,73,16,54,-,-,-,-,-,-,-,-,-
Sri Lanka,Akila Dananjaya,25,Allrounder,Left-hand bat,Right-arm offbreak,16,7,3,31,11*,7.75,36,86.11,0,0,3,0,16,16,340,425,14,2/9,2/9,30.35,7.50,24.2
Sri Lanka,Dhananjaya de Silva,27,Allrounder,Right-hand bat,Right-arm offbreak,9,9,0,215,62,23.88,199,108.04,0,1,16,4,9,5,60,67,4,2/22,2/22,16.75,6.70,15.0
Sri Lanka,Chaturanga de Silva,28,Allrounder,Left-hand bat,Slow left-arm orthodox,2,2,0,22,21,11.00,22,100.00,0,0,1,0,2,2,12,30,0,-,-,-,15.00,-
Sri Lanka,Niroshan Dickwella,25,Wicketkeeper batsman,Left-hand bat,_,14,13,0,252,68,19.38,186,135.48,0,1,37,5,14,-,-,-,-,-,-,-,-,-
Sri Lanka,Nuwan Pradeep,32,Bowler,Right-hand bat,Right-arm fast-medium,9,4,3,0,0*,0.00,6,0.00,0,0,0,0,9,9,159,287,7,2/37,2/37,41.00,10.83,22.7
Sri Lanka,Vishwa Fernando,27,Bowler,Right-hand bat,Left-arm medium-fast,1,1,0,2,2,2.00,2,100.00,0,0,0,0,1,1,12,16,0,-,-,-,8.00,-
Sri Lanka,Asela Gunaratne,32,Batsman,Right-hand bat,Right-arm medium-fast,12,12,3,225,84*,25.00,178,126.40,0,2,19,6,12,10,149,204,5,1/11,1/11,40.80,8.21,29.8
Sri Lanka,Danushka Gunathilaka,27,Allrounder,Left-hand bat,Right-arm offbreak,15,15,0,310,51,20.66,248,125.00,0,1,29,10,15,7,82,106,5,2/3,2/3,21.20,7.75,16.4
Sri Lanka,Suranga Lakmal,31,Bowler,Right-hand bat,Right-arm fast-medium,10,5,3,7,5*,3.50,8,87.50,0,0,1,0,10,10,184,292,7,2/26,2/26,41.71,9.52,26.2
Sri Lanka,Shehan Madushanka,23,Bowler,Right-hand bat,Right-arm fast-medium,2,-,-,-,-,-,-,-,-,-,-,-,2,2,31,62,2,2/23,2/23,31.00,12.00,15.5
Sri Lanka,Lasith Malinga,35,Bowler,Right-hand bat,Right-arm fast,69,22,8,78,27,5.57,101,77.22,0,0,3,3,69,69,1475,1810,92,5/31,5/31,19.67,7.36,16.0
Sri Lanka,Angelo Mathews,31,Allrounder,Right-hand bat,Right-arm medium,72,57,18,1055,81*,27.05,893,118.14,0,5,67,35,72,57,969,1101,37,3/16,3/16,29.75,6.81,26.1
Sri Lanka,Kusal Mendis,23,Wicketkeeper batsman,Right-hand bat,_,16,16,0,333,70,20.81,223,149.32,0,4,29,16,16,-,-,-,-,-,-,-,-,-
Sri Lanka,Jeevan Mendis,35,Allrounder,Left-hand bat,Legbreak,22,15,4,207,43*,18.81,174,118.96,0,0,18,6,22,14,210,249,12,3/24,3/24,20.75,7.11,17.5
Sri Lanka,Kamindu Mendis,20,Bowler,Left-hand bat,Right-arm offbreak, Slow left-arm orthodox,1,1,0,24,24,24.00,14,171.42,0,0,3,1,1,1,18,27,0,-,-,-,9.00,-
Sri Lanka,Dilshan Munaweera,29,Opening batsman,Right-hand bat,Right-arm offbreak,13,13,1,215,53,17.91,164,131.09,0,1,25,7,13,5,60,92,1,1/26,1/26,92.00,9.20,60.0
Sri Lanka,Sachith Pathirana,29,Allrounder,Left-hand bat,Slow left-arm orthodox,5,5,0,27,14,5.40,24,112.50,0,0,3,0,5,5,95,119,5,2/23,2/23,23.80,7.51,19.0
